title,author,publish_date,job_summary
Forever renters,Marketplace / Kai Ryssdal,"Thu, 01 Feb 2024 00:08:42 +0000","<p>For some Americans, buying a home feels like an impossible goal — especially in this market. Maybe that&#8217;s why more renters than ever say they&#8217;re likely to be renters for life. In this episode: Homeownership is out of reach for some and just not a priority for others. Plus, the Federal Reserve hints at when we might see interest rates cut, and AI training methods raise ethical questions about &#8220;fair use.&#8221;</p>"
Wait … how big is our debt?,Marketplace / Kai Ryssdal,"Wed, 31 Jan 2024 00:20:14 +0000","<p>At $34 trillion, U.S. federal debt is at a record level. And economists say we’re entering uncharted waters with a 120% debt-to-GDP ratio. So, when should we start to worry? Also in this episode: Consumer confidence reaches a two-year high, activity heats up in the corporate bond market and beef Wellington takes center stage at Shanghai restaurants.</p>"
The office support jobs’ sluggish  comeback,Marketplace / Kai Ryssdal,"Tue, 30 Jan 2024 00:31:24 +0000","<p>Jobs in office support (think custodians, security guards) grew just 2.6% in 2023, according to a  Bureau of Labor Statistics report tracking employment in different sectors. That may reflect a sluggish return to in-person work more than growth in the sector. In this episode, the office support ecosystem. Plus, Baltimore will use blockchain tech to battle vacant homes, teen employment hits a 14-year high and importers struggle with price spikes.</p>"
"If the economy’s so good, what’s with all the layoffs?",Marketplace / Kai Ryssdal,"Fri, 26 Jan 2024 23:40:54 +0000","<p>The U.S. economy has had a sunny start to 2024 — so why is corporate America laying on the layoffs? Plus, the effects of &#8220;digital redlining&#8221; in the rural South; the Biden administration takes a closer look at liquefied natural gas exports; and apparel brands recruit the help of &#8220;mid-size&#8221; influencers to more effectively court consumers.</p>"
Cha-ching! Can you hear the economy growing?,Marketplace / Kai Ryssdal,"Fri, 26 Jan 2024 01:16:59 +0000","<p>The latest reading on the U.S. economy shows unexpected growth, led by spending on hotels, dining out and video games. We check in with some businesses that are feeling the consumer love. So that&#8217;s how the economy is doing. But how are people feeling about it? Split, according to a new poll that shows a growing divide between what high- and low-income earners think. Also: Profits from home sales fell but are still more than double what they were five years ago. And a doctor talks about her book on racism in medicine.</p>"
The New Deal’s legacy,Marketplace / Kai Ryssdal,"Thu, 25 Jan 2024 00:23:25 +0000","<p>When FDR&#8217;s administration created the New Deal, the relationship between the government and the economy changed forever. In some ways, Biden is trying to make a similar impact with more than $1 trillion authorized by legislation like the CHIPS Act and the Inflation Reduction Act. In our new series, &#8220;Breaking Ground,&#8221; we&#8217;ll be visiting communities across the country to see how the infusion of cash might change the economy. Today, we dive into what was accomplished with the New Deal and how it changed American society.</p>"
How much do you spend on sports?,Marketplace / Kai Ryssdal,"Wed, 24 Jan 2024 00:16:44 +0000","<p>The next big thing in streaming is undoubtedly live sports. The NFL&#8217;s first streaming-only game smashed records recently. The next big thing in sports, though? Gambling, which is becoming more accessible and more addictive. In this episode, fans spend on streaming and spend bigger on gambling platforms. Plus, New York City retail rents stay soft, organic certification comes at a price and middle managers have the worst time at work.</p>"
The honk-shoo-mimimi economy,Marketplace / Kai Ryssdal,"Tue, 23 Jan 2024 00:18:10 +0000","<p>Sleep aids and supplements, sleep tech and regular old mattresses make up a $100 billion global market combined. Which makes sense, since two-thirds of Americans don&#8217;t regularly get deep z&#8217;s. In this episode: How much would you pay for a good night&#8217;s sleep? Plus, Nordstrom&#8217;s challenge to straddle two retail worlds, AI might not take your job after all, and activist shareholders cause a stir at Exxon.</p>"
What does an “almost” government shutdown cost?,Marketplace / Kai Ryssdal,"Sat, 20 Jan 2024 00:01:41 +0000","<p>Congress narrowly avoided yet another government shutdown today, keeping thousands of federal employees in their jobs by basically extending last year&#8217;s budget for the short term. But being buzzer beaters comes at a price: Pushing back the budget deadline can cost federal departments precious time and representatives the trust of their constituents. Also in this episode, the New Deal history of Los Angeles freeways and the North American fruit you won&#8217;t find at most grocery stores.</p>"
“Treasury is used to doing what Treasury wants to do”,Marketplace / Kai Ryssdal,"Fri, 19 Jan 2024 00:03:10 +0000","<p>Though the IRS doesn&#8217;t collect racial data, it is significantly more likely to audit Black earned income tax credit filers than those of any other race. Dorothy Brown, a scholar of tax law and race, is part of a Treasury advisory committee on racial equity, and so far, she said, Secretary Janet Yellen hasn&#8217;t embraced the group&#8217;s recommendations as a priority. In this episode, the slow-going fight to fix racial disparities caused by the tax system. Plus, what hiring managers mean when they label candidates &#8220;overqualified.&#8221;</p>"
"In this economy, we’re focusing on the little things",Marketplace / Kai Ryssdal,"Thu, 18 Jan 2024 00:02:49 +0000","<p>Discretionary spending has had a good run recently, and the purchases aren&#8217;t skewing practical. Furniture retailers, for example, had a lousy 2023 — splurgy shoppers were more focused on Swift tickets than sofas. And looking to 2024, consumers plan to steer clear of big-ticket items and instead buy affordable luxuries like cosmetics. In this episode: Americans are in their &#8220;joy spending&#8221; era. Plus, financial planners are wary of the new spot bitcoin exchange-traded funds and everything seems to always be on sale.</p>"
Does your business need a loan? Banks aren’t your only option.,Marketplace / Kai Ryssdal,"Wed, 17 Jan 2024 00:09:35 +0000","<p>Increasingly, small and medium businesses are taking out loans with hedge funds or investment firms, which can have fewer restrictions than banks and might be more flexible on loan amounts. In this episode, the pros and cons of private credit. Plus, office downsizing could ramp up this year, Kroger and Albertsons want to merge, and U.S. agricultural imports will likely exceed exports this year.</p>"
ACA insurance sees record sign-ups,Marketplace / Kai Ryssdal,"Mon, 15 Jan 2024 23:04:21 +0000","<p>About 20 million Americans enrolled in Affordable Care Act health insurance plans this go-round — the most since ACA marketplaces started enrolling people in 2013. Open enrollment for 2024 coverage ends tomorrow for most Americans. In this episode, the pandemic policies that boosted sign-ups. Plus, corporations are already fighting for opioid settlement money, minority small business owners face barriers to borrowing and a tiny Georgia town&#8217;s port could be the future of U.S. auto shipping.</p>"
Gretchen! Stop trying to make recycled IP happen!,Marketplace / Kai Ryssdal,"Fri, 12 Jan 2024 23:51:32 +0000","<p>&#8220;Mean Girls&#8221; — a movie based on a musical based on a 2004 movie — comes out today. It&#8217;s not the first or the last time Hollywood has recycled a beloved plot and characters for a &#8220;new&#8221; audience. What makes movie remakes so grool? (Great plus cool, duh.) Also in this episode: tackling the question of the NFL&#8217;s future and young voters in Taiwan are focused on inflation and fear of war with China.</p>"
"Not so fast, CPI!",Marketplace / Kai Ryssdal,"Thu, 11 Jan 2024 23:51:01 +0000","<p>The last consumer price index came out today. In short? Prices ticked up a bit more than expected. We&#8217;ll dig into two major line items: the cost of shelter (and why it&#8217;s a lagging indicator when it comes to the CPI) and grocery prices — for that, we&#8217;ll hear from shoppers themselves. Also in this episode, restaurants may be the new frontier for dynamic pricing, and farmers lacking child care options could get some help from the next farm bill.</p>"
What Alan Greenspan got right and wrong at the Fed,Marketplace / Kai Ryssdal,"Thu, 11 Jan 2024 00:03:55 +0000","<div class=""c-scrollbar__hider"" role=""presentation"" data-qa=""slack_kit_scrollbar"">
<div class=""c-scrollbar__child"" role=""presentation"">
<div class=""c-virtual_list__scroll_container"" role=""list"" data-qa=""slack_kit_list"" aria-label=""Jordan Mangi (direct message, away)"">
<div id=""1704930293.103379"" class=""c-virtual_list__item"" role=""listitem"" data-qa=""virtual-list-item"" data-item-key=""1704930293.103379"">
<div class=""c-message_kit__background c-message_kit__background--hovered p-message_pane_message__message c-message_kit__message p-message_pane_message__message--last"" role=""presentation"" data-qa=""message_container"" data-qa-unprocessed=""false"" data-qa-placeholder=""false"">
<div class=""c-message_kit__hover c-message_kit__hover--hovered"" role=""document"" data-qa-hover=""true"">
<div class=""c-message_kit__actions c-message_kit__actions--default"">
<div class=""c-message_kit__gutter"">
<div class=""c-message_kit__gutter__right"" role=""presentation"" data-qa=""message_content"">
<div class=""c-message_kit__blocks c-message_kit__blocks--rich_text"">
<div class=""c-message__message_blocks c-message__message_blocks--rich_text"" data-qa=""message-text"">
<div class=""p-block_kit_renderer"" data-qa=""block-kit-renderer"">
<div class=""p-block_kit_renderer__block_wrapper p-block_kit_renderer__block_wrapper--first"">
<div class=""p-rich_text_block"" dir=""auto"">
<div class=""p-rich_text_section"">Alan Greenspan served as chair of the Federal Reserve for 18 years, cooling inflation in the 1990s and demonstrating that the Fed was independent from politicians. But he also made mistakes that helped lead to the financial crisis of 2008. In this episode, biographer Sebastian Mallaby dives into Greenspan&#8217;s complicated legacy. Plus, why beef and other animal product prices haven&#8217;t fallen to pre-pandemic levels, and what wholesale inventory numbers signal about the economy.</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>"
What are we gonna do with all this empty space?,Marketplace / Kai Ryssdal,"Wed, 10 Jan 2024 00:10:05 +0000","<p>Nearly 20% of office spaces across the U.S. are vacant, new data shows. Many companies solidified their back-to-office policies in the past year, so why are buildings emptier than ever? And in Shanghai, retail vacancies remain higher than pre-pandemic levels — yet small-business owners are struggling to find affordable storefronts to lease. Also in this episode: The Biden administration passed a new rule that could classify millions more gig workers as employees, and economists aren&#8217;t concerned about the U.S. trade deficit.</p>"
According to my Magic 8 Ball …,Marketplace / Kai Ryssdal,"Tue, 09 Jan 2024 00:19:15 +0000","<p>It&#8217;s a new year, and that means experts — and nonexperts — have lots of guesses about what 2024 may hold. In this episode, we&#8217;ll talk about some of those predictions. Will inflation hit to 3%? Will consumer credit keep ticking up? Will gas prices drop below $3 a gallon? Signs point to yes. Plus, Houston has been nationally recognized for its successful Housing First approach to homelessness. But keeping up those programs will mean more funding, especially as housing costs rise.</p>"
In? Ice cream. Out? Cookies.,Marketplace / Kai Ryssdal,"Fri, 05 Jan 2024 23:27:22 +0000","<p>In/out lists are, like, so &#8220;in&#8221; right now. On social media, they&#8217;re a way to forecast what trends people will and won&#8217;t be fans of in the new year. So for this episode, we asked economists to predict what will be in and out for the 2024 economy. Plus, some sweet stories: an ice cream entrepreneur settles into a long-needed production facility, and Google Chrome begins phasing out third-party cookies. (But that doesn&#8217;t mean no more targeted ads.)</p>"
This isn’t the old normal,Marketplace / Kai Ryssdal,"Thu, 04 Jan 2024 23:39:59 +0000","<p>Nearly four years since the pandemic began, the labor market seems to be returning to pre-COVID trends. But just because the numbers look similar doesn&#8217;t mean the landscape of work hasn&#8217;t evolved. In this episode, how and where Americans work now. Plus, mobile shopping surpassed other online shopping modes this holiday season, firms might have shifted the timing of layoffs to protect their brands and Microsoft updated its desktop keyboard for the first time in 30 years.</p>"
"After incarceration, inclusion matters",Marketplace / Kai Ryssdal,"Wed, 03 Jan 2024 23:48:14 +0000","<p>Nearly half of all Americans have a family member who&#8217;s spent time in jail or prison — the economic effects of which are far-reaching. In this episode, we&#8217;ll hear from sociologist Reuben Jonathan Miller, who studies what he calls the &#8220;afterlife&#8221; of incarceration, about how we can better support formerly incarcerated individuals and why he&#8217;s focusing on those charged with violent crimes. Plus, it&#8217;s getting harder to identify ghost jobs, and &#8220;little change&#8221; is good news for the job market.</p>"
How will the markets fare in 2024?,Marketplace / Kai Ryssdal,"Wed, 03 Jan 2024 00:12:34 +0000","<p>2023 was full of uncertainty. What will 2024 bring? We asked some experts how the year could go, economically speaking. Spoiler alert: There wasn&#8217;t much consensus. In this episode, how geopolitical tension may affect financial markets in the new year. Plus, artificial intelligence tools give people with disabilities new avenues for communication, manufacturers weigh borrowing decisions ahead of potential rate cuts and a decline in temporary employment spells good news for the labor market.</p>"
"New year, new minimum wage",Marketplace / Kai Ryssdal,"Mon, 01 Jan 2024 20:18:55 +0000","<p>Almost 10 million Americans just got a raise. More than 20 states are ringing in the new year with a higher minimum wage than they left 2023 with. In this episode, who will benefit most and how far we still have to go for a living wage to be the norm. Plus, the Permian Basin region attracts resource-rich oil investors, and landlords report rent payments to credit bureaus with mixed consequences for tenants.</p>"
Medicare’s New Year’s resolution? Bring down drug prices.,Marketplace / Kai Ryssdal,"Fri, 29 Dec 2023 23:45:43 +0000","<p>One in seven Medicare beneficiaries surveyed reported not filling a prescription due to high cost. The Inflation Reduction Act was meant to change this by allowing Medicare to negotiate the prices of 10 medications beginning in 2024. It&#8217;ll be a balancing act — bring prices down enough that they&#8217;re affordable, but not so low that drug companies exit the Medicare market. Also in this episode: French wineries suffer as red wine consumption drops, and new OSHA rules bring more transparency to on-the-job accidents at 50,000 workplaces.</p>"
The very hungry web crawler,Marketplace / Kai Ryssdal,"Thu, 28 Dec 2023 23:50:50 +0000","<p>The New York Times has sued OpenAI and Microsoft for allegedly using the newspaper&#8217;s content to train ChatGPT, the artificial intelligence chatbot. The outcome may answer some pressing questions about copyright law and the fair use doctrine. In this episode, we&#8217;ll break down data scraping — the content-copying practice at the heart of lawsuits like this one. Plus, credit unions profit big time from overdraft fees, Black Americans move south in a reverse Great Migration to flee pollution, and student loan borrowers aren&#8217;t back in the swing of things months after repayment restarted.</p>"
